Escuela_ID;Número;Escuela;Nivel;Nivel_Unificado;Gestión;Supervisión;Departamento;Localidad;zona;AMBITO;Regional
1190;4202;RÍO ATUEL;Secundario Orientado;Secundario;Pública;14 - Secundario Orientado;GRAL. ALVEAR;GENERAL ALVEAR;60%;Urbano;-
1191;4203;COLONIA LAS ROSAS;Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;TUNUYÁN;COLONIA LAS ROSAS;80%;Rural;-
1192;4204;INGENIERO MIGUEL NATALIO FIRPO;Secundario Orientado;Secundario;Pública;15 - Secundario Orientado;SAN CARLOS;EUGENIO BUSTOS;80%;Urbano;-
1193;4205;EMBAJADOR PABLO NERUDA (8205);Secundario Orientado;Secundario;Pública;12 - Secundario Orientado;MALARGÜE;LA ESCONDIDA;110%;Rural frontera;-
1194;4206;MAPU MAHUIDA (Esc. 8206);Secundario Orientado;Secundario;Pública;12 - Secundario Orientado;MALARGÜE;BARDAS BLANCAS;110%;Rural frontera;-
1195;4207;RAÍCES HUARPES;Secundario Orientado;Secundario;Pública;08 - Secundario Orientado;LAVALLE;SAN JOSÉ;110%;Rural;-
1196;4209;BLANCA NÉLIDA GUTIERREZ;Secundario Orientado;Secundario;Pública;17 - Secundario Orientado;SAN MARTÍN;BUEN ORDEN;80%;Marginal;-
1197;4210;DR. NELSON MANDELA;Secundario Orientado;Secundario;Pública;18 - Secundario Orientado;CAPITAL;5º SECCION -  RESIDENCIAL SUR;10%;Urbano;-
1198;4211;MAESTRO ÁNGEL OSCAR FUNES;Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;SAN CARLOS;PAREDITAS;110%;Rural;-
1199;4212;CAMILO CARBALLO;Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;TUPUNGATO;CORDÓN DEL PLATA;110%;Urbano marginal;-
1200;4213;HUMBERTO ANTONIO VALESTRA;Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;SAN MARTÍN;ALTO SALVADOR;110%;Rural;-
1201;4214;DISTRITO LOS ÁRBOLES;Secundario Orientado;Secundario;Pública;15 - Secundario Orientado;TUNUYÁN;LOS ARBOLES;110%;Rural;-
1202;4215;BUENOS VECINOS;Secundario Orientado;Secundario;Pública;03 - Secundario Orientado;GUAYMALLÉN;COLONIA SEGOVIA;80%;Rural;-
1203;4216;MANUEL NOLO TEJÓN Y MAGDA DE MEROLIS;Secundario Orientado;Secundario;Pública;07 - Secundario Orientado;LAS HERAS;EL RESGUARDO;80%;Urbano marginal;-
1204;4217;LA PRIMAVERA;Secundario Orientado;Secundario;Pública;03 - Secundario Orientado;GUAYMALLÉN;LA PRIMAVERA;80%;Marginal;-
1205;4218;PARQUE PROVINCIAL ACONCAGUA;Secundario Orientado;Secundario;Pública;07 - Secundario Orientado;LAS HERAS;LAS HERAS;10%;Urbano marginal;-
1206;4219;ELIANA MOLINELLI;Secundario Orientado;Secundario;Pública;08 - Secundario Orientado;LAS HERAS;EL ALGARROBAL;80%;Urbano marginal;-
1207;4220;NICOLÁS LUNA;Secundario Orientado;Secundario;Pública;14 - Secundario Orientado;GRAL. ALVEAR;LA MARZOLINA;80%;Urbano marginal;-
1208;4221;VALENTÍN A. BIANCHI;Secundario Orientado;Secundario;Pública;16 - Secundario Orientado;SAN RAFAEL;CIUDAD;40%;Urbano;-
1209;4222;MARÍA MARTHA ARENAS DE ZAPATA;Secundario Orientado;Secundario;Pública;03 - Secundario Orientado;GUAYMALLÉN;KM 8;80%;Urbano;-
1210;4223;ANTONIO MATÍAS IRIARTE;Secundario Orientado;Secundario;Pública;11 - Secundario Orientado;TUPUNGATO;EL ZAMPAL;110%;Rural;-
1211;4224;DR. TOMÁS LUIS APPUGLIESE;Secundario Orientado;Secundario;Pública;08 - Secundario Orientado;LAVALLE;VILLA TULUMAYA (CIUDAD);80%;Rural;-
1212;4225;ANTONIO SARELLI;Secundario Orientado;Secundario;Pública;05 - Secundario Orientado;MAIPÚ;LUZURIAGA;10%;Urbano;-
