Escuela_ID;Curso ;División;matricula_por_escuela_curso_y_division
73;3°;1º;28
73;4°;1º;31
73;5°;1º;29
73;6°;1º;30
73;7°;1º;29
74;2°;A;26
74;2°;B;25
74;2°;C;22
74;2°;D;21
74;3°;A;29
74;3°;B;27
74;3°;C;21
74;3°;D;21
74;4°;A;29
74;4°;B;26
74;4°;C;28
74;4°;D;28
74;5°;A;31
74;5°;B;31
74;5°;C;26
74;5°;D;25
74;6°;A;31
74;6°;B;29
74;6°;C;26
74;6°;D;26
74;7°;A;32
74;7°;B;29
74;7°;C;26
74;7°;D;21
75;1°;1° y 2°;5
75;2°;1° y 2°;3
75;3°;3°, 4° y 5°;4
75;4°;3°, 4° y 5°;6
75;5°;3°, 4° y 5°;8
75;6°;6° y 7°;2
75;7°;6° y 7°;6
76;1°;1° y 2° ;4
76;2°;1° y 2° ;10
76;3°;3° y 4°;3
76;4°;3° y 4°;6
76;5°;5°, 6° y 7°;6
76;6°;5°, 6° y 7°;3
76;7°;5°, 6° y 7°;2
77;2°;A;27
77;2°;B;26
77;2°;C;24
77;3°;A;23
77;3°;B;22
77;3°;C;22
77;4°;A;25
77;4°;B;25
77;4°;C;27
77;5°;A;26
77;5°;B;25
77;5°;C;25
77;6°;A;27
77;6°;B;26
77;7°;A;29
77;7°;B;28
78;2°;A;23
78;2°;B;28
78;3°;A;21
78;3°;B;16
78;4°;A;26
78;4°;B;21
78;5°;A;20
78;5°;B;18
78;6°;A;26
78;6°;B;20
78;7°;A;16
78;7°;B;14
79;2°;1º;10
79;3°;1º;17
79;4°;1º;14
79;5°;1º;17
79;6°;1º;11
79;7°;1º;14
80;2°;A;20
80;2°;B;19
80;2°;C;24
80;3°;A;28
80;3°;B;19
80;3°;C;20
80;4°;A;27
80;4°;B;21
80;4°;C;19
80;5°;A;24
80;5°;B;20
80;5°;C;20
80;6°;A;33
80;6°;B;30
80;7°;A;26
80;7°;B;21
80;7°;C;21
81;2°;A;25
81;3°;A;13
81;3°;B;14
81;4°;A;22
81;5°;A;25
81;6°;A;23
81;7°;A;19
82;2°;A;24
82;2°;B;22
82;2°;C;22
82;3°;A;24
82;3°;B;23
82;3°;C;21
82;4°;A;26
82;4°;B;24
82;4°;C;25
82;5°;A;27
82;5°;B;24
82;5°;C;25
82;6°;A;19
82;6°;B;20
82;6°;C;21
82;7°;A;28
82;7°;B;26
82;7°;C;25
83;2°;1º;18
83;3°;1º;24
83;4°;1º;14
83;5°;1º;22
83;6°;1º;18
83;7°;1º;21
84;2°;A;15
84;2°;B;14
84;3°;1º;23
84;4°;1º;21
84;5°;A;12
84;5°;B;13
84;6°;A;14
84;6°;B;14
84;7°;1º;17
85;2°;A;23
85;2°;B;22
85;2°;C;22
85;3°;A;21
85;3°;B;18
85;3°;C;18
85;4°;A;23
85;4°;B;20
85;4°;C;20
85;5°;A;26
85;5°;B;22
85;5°;C;23
85;6°;A;28
85;6°;B;28
85;7°;A;22
85;7°;B;23
86;2°;1º;13
86;3°;1º;18
86;4°;1º;18
86;5°;1º;11
86;6°;1º;20
86;7°;1º;14
87;2°;A;27
87;2°;B;25
87;3°;A;23
87;3°;B 25;23
87;4°;A;17
87;4°;B;16
87;4°;C;18
87;5°;A;20
87;5°;B;20
87;5°;C;19
87;6°;A;28
87;6°;B;15
87;7°;A;21
87;7°;B 25;21
87;7°;C;17
88;2°;1º;9
88;3°;1º;14
88;4°;1º;20
88;5°;1º;15
88;6°;1º;14
88;7°;1º;14
90;2°;A;26
90;3°;A;16
90;3°;B;18
90;4°;Ú;24
90;5°;Ú;28
90;6°;Ú;22
90;7°;Ú;18
91;1°;1º,2º,3º;1
91;2°;1º,2º,3º;6
91;3°;1º,2º,3º;2
91;4°;4º,5º;3
91;5°;4º,5º;5
91;6°;6º, 7º;5
91;7°;6º, 7º;6
92;2°;A;26
92;2°;B;22
92;2°;C;19
92;3°;A;20
92;3°;B;23
92;3°;C.TM;20
92;3°;D;20
92;4°;A;28
92;4°;B TT;27
92;4°;C;26
92;5°;A;28
92;5°;B.TT;27
92;5°;C;28
92;6°;A;24
92;6°;B.TT;25
92;6°;C.TM;20
92;7°;A;26
92;7°;B;22
92;7°;C.TM;24
93;2°;A;24
93;2°;B;31
93;3°;A;24
93;3°;B;29
93;4°;A;20
93;4°;B;20
93;5°;A;29
93;5°;B;26
93;6°;A;23
93;6°;B;22
93;7°;A;22
93;7°;B;16
94;2°;A;29
94;2°;B;30
94;2°;C;35
94;2°;D;30
94;3°;A;31
94;3°;B;29
94;3°;C;30
94;3°;D;29
94;4°;A;32
94;4°;B;30
94;4°;C;32
94;4°;D;31
94;5°;A;35
94;5°;B;32
94;5°;C;32
94;5°;D;30
94;6°;A;31
94;6°;B;22
94;6°;C;29
94;6°;D;29
94;7°;A;30
94;7°;B;30
94;7°;C;24
94;7°;D;23
95;2°;A;28
95;2°;B;23
95;2°;C;25
95;3°;A;22
95;3°;B;29
95;3°;C;30
95;4°;A;32
95;4°;B;22
95;4°;C;28
95;5°;A;28
95;5°;B;28
95;5°;C;29
95;6°;A;30
95;6°;B;30
95;6°;C;32
95;7°;A;30
95;7°;B;30
95;7°;C;27
96;2°;A;21
96;2°;B;19
96;2°;C;17
96;3°;A;30
96;3°;B;26
96;3°;C;27
96;4°;A;27
96;4°;B;20
96;4°;C;20
96;5°;A;32
96;5°;B;30
96;5°;C;29
96;6°;A;28
96;6°;B;25
96;6°;C;28
96;7°;A;30
96;7°;B;26
96;7°;C;29
97;2°;A;25
97;2°;B;16
97;3°;A;20
97;3°;B;21
97;4°;A;23
97;4°;B;17
97;5°;A;24
97;5°;B;21
97;6°;A;25
97;6°;B;25
97;7°;A;24
97;7°;B;24
98;2°;A;17
98;2°;B;17
98;3°;A;16
98;3°;B;15
98;4°;A;16
98;4°;B;19
98;5°;A;21
98;5°;B;15
98;6°;A;23
98;6°;B;20
98;7°;A;22
98;7°;B;15
99;2°;A;12
99;3°;A;16
99;4°;A;21
99;5°;A;23
99;6°;A;22
99;7°;A;25
100;2°;A;8
100;3°;A;8
100;4°;A;12
100;5°;A;15
100;6°;A;15
100;7°;A;12
101;2°;A;20
101;2°;B;18
101;3°;A;20
101;3°;B;20
101;4°;A;25
101;4°;B;17
101;5°;A;21
101;5°;B;18
101;6°;A;20
101;6°;B;19
101;7°;A;22
101;7°;B;18
102;2°;A;28
102;2°;B;26
102;2°;C;23
102;3°;A;28
102;3°;B;28
102;3°;C;31
102;4°;A;33
102;4°;B;24
102;4°;C;28
102;5°;A;21
102;5°;B;24
102;5°;C;28
102;5°;D;29
102;6°;A;31
102;6°;B;32
102;6°;C;34
102;7°;A;29
102;7°;B;26
102;7°;C;29
103;2°;1º;13
103;3°;1º;14
103;4°;1º;14
103;5°;1º;19
103;6°;1º;12
103;7°;1º;14
104;2°;A;20
104;2°;B;21
104;3°;A;24
104;3°;B;24
104;4°;A;27
104;4°;B;26
104;5°;A;19
104;5°;B;20
104;6°;A;25
104;6°;B;24
104;7°;A;25
104;7°;B;25
105;2°;1º;13
105;3°;1º;15
105;4°;1º;17
105;5°;1º;18
105;6°;1º;15
105;7°;1º;14
106;2°;A;19
106;2°;B;16
106;3°;A;28
106;3°;B;22
106;4°;A;29
106;4°;B;26
106;5°;A;23
106;5°;B;26
106;6°;A;23
106;6°;B;21
106;7°;A;24
106;7°;B;17
107;2°;A;21
107;2°;B;22
107;2°;C;24
107;3°;A;27
107;3°;B;27
107;3°;C;27
107;4°;A;26
107;4°;B;25
107;4°;C;27
107;5°;A;28
107;5°;B;29
107;5°;C;31
107;6°;A;29
107;6°;B;30
107;6°;C;30
107;7°;A;23
107;7°;B;23
107;7°;C;20
108;2°;1º;19
108;3°;1º;21
108;4°;1º;20
108;5°;1º;16
108;6°;1º;23
108;7°;1º;20
109;2°;1º;27
109;3°;1º;28
109;4°;1º;21
109;5°;1º;28
109;6°;1º;26
109;7°;1º;30
110;2°;A;22
110;2°;B;25
110;3°;A;26
110;3°;B;19
110;4°;A;24
110;4°;B;23
110;5°;A;18
110;5°;B;17
110;6°;A;26
110;6°;B;25
110;7°;A;19
110;7°;B;17
111;2°;A;23
111;2°;B;21
111;2°;C;22
111;2°;D;20
111;3°;A;17
111;3°;B;13
111;3°;C;17
111;3°;D;16
111;4°;A;26
111;4°;B;28
111;4°;C;18
111;4°;D;16
111;5°;A;26
111;5°;B;27
111;5°;C;23
111;5°;D;21
